latitude,longitude,tanggal,kelurahan,kecamatan,wilayah
-6.280032,106.842183,11 Januari 2017,Pasar Minggu,Pasar Minggu, Kota Administrasi Jakarta Selatan
-6.122612,106.878413,11 Januari 2017,Warakas,Tanjung Priok, Kota Administrasi Jakarta Utara
-6.219497,106.899569,11 Januari 2017,Klender,Duren Sawit, Kota Administrasi Jakarta Timur
-6.178142,106.734318,11 Januari 2017,Kembangan Utara,Kembangan, Kota Administrasi Jakarta Barat
-6.279878,106.770846,11 Januari 2017,Cilandak Barat,Cilandak, Kota Administrasi Jakarta Selatan
-6.272181,106.825522,12 Januari 2017,Pejaten Barat,Pasar Minggu, Kota Administrasi Jakarta Selatan
-6.163243,106.800659,12 Januari 2017,Duri Pulo,Gambir, Kota Administrasi Jakarta Pusat
-6.115481,106.921773,12 Januari 2017,Semper Barat,Cilincing, Kota Administrasi Jakarta Utara
-6.156404,106.805838,13 Januari 2017,Duri Utara,Tambora, Kota Administrasi Jakarta Barat
-6.155694,106.706478,14 Januari 2017,Kalideres,Kalideres, Kota Administrasi Jakarta Barat
-6.278555,106.831149,14 Januari 2017,Pejaten Barat,Pasar Minggu, Kota Administrasi Jakarta Selatan
-6.191651,106.792097,14 Januari 2017,Kemanggisan,Palmerah, Kota Administrasi Jakarta Barat
-6.228629,106.893376,14 Januari 2017,Pondok Bambu,Duren Sawit, Kota Administrasi Jakarta Timur
-6.241921,106.791404,15 Januari 2017,Gunung,Kebayoran Baru, Kota Administrasi Jakarta Selatan
-6.241747,106.791495,15 Januari 2017,Gunung,Kebayoran Baru, Kota Administrasi Jakarta Selatan
-6.320086,106.819395,15 Januari 2017,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan
-6.176089,106.770427,15 Januari 2017,Duri Kepa,Kebun Jeruk, Kota Administrasi Jakarta Barat
-6.192329,106.90476,16 Januari 2017,Jatinegara Kaum,Pulogadung, Kota Administrasi Jakarta Timur
-6.157918,106.803523,16 Januari 2017,Duri Selatan,Tambora, Kota Administrasi Jakarta Barat
-6.30024,106.815444,16 Januari 2017,Ragunan,Pasar Minggu, Kota Administrasi Jakarta Selatan
-6.135973,106.8021,16 Januari 2017,Pekojan,Tambora, Kota Administrasi Jakarta Barat
-6.288223,106.792258,16 Januari 2017,Cilandak Barat,Cilandak, Kota Administrasi Jakarta Selatan
-6.314437,106.782751,16 Januari 2017,Pondok Labu,Cilandak, Kota Administrasi Jakarta Selatan
-6.189098,106.791541,17 Januari 2017,Kemanggisan,Palmerah, Kota Administrasi Jakarta Barat
-6.174209,106.842109,17 Januari 2017,Senen,Senen, Kota Administrasi Jakarta Pusat
-6.172232,106.770324,18 Januari 2017,Duri kepa,Kebun Jeruk, Kota Administrasi Jakarta Barat
-6.177032,106.842838,19 Januari 2017,Senen,Senen, Kota Administrasi Jakarta Pusat
-6.123898,106.927598,19 Januari 2017,Semper Barat,Cilincing, Kota Administrasi Jakarta Utara
-6.177316,106.843355,19 Januari 2017,Kramat,Senen, Kota Administrasi Jakarta Pusat
-6.146447,106.913195,19 Januari 2017,Pegangsaan Dua,Kelapa Gading, Kota Administrasi Jakarta Utara
-6.174641,106.851162,19 Januari 2017,Senen,Senen, Kota Administrasi Jakarta Pusat
-6.344206,106.828983,20 Januari 2017,Srengseng Sawah,Jagakarsa, Kota Administrasi Jakarta Selatan
-6.109491,106.889796,20 Januari 2017,Tanjung Priok,Tanjung Priok, Kota Administrasi Jakarta Utara
-6.152829,106.839624,20 Januari 2017,Gunung Sahari Utara ,Sawah Besar, Kota Administrasi Jakarta Pusat
